id,name
24,Monza
61,Lille
375,Nimes
7280,Cremonese
393,Dijon
367,Bordeaux
13,Ç. Rizespor
20,Kayserispor
69,Lyon
439,Hertha Berlin
371,Angers
31,Nantes
1668,Crotone
30,Montpellier
29,Rennes
391,St Etienne
7110,AC Ajaccio
4,F. Karagümrük
68,Nice
67,Brest
4547,Giresunspor
66,Toulouse
32,Lens
10,PSG
7138,AJ Auxerre
7154,Ümraniyespor
1741,Spezia
9,Strasbourg
52,Salernitana
60,Le Havre
36,Augsburg
5,Samsunspor
16,İstanbulspor
55,Atalanta
12384,Holstein Kiel
74,Union Berlin
39,Freiburg
397,Parma
44,E. Frankfurt
21,Empoli
54,Hellas Verona
369,Amiens
56,Lazio
7,Lecce
11,Heidenheim
12,B. Dortmund
42,Werder Bremen
72,Hoffenheim
45,Pendikspor
1714,Benevento
4483,Troyes
51,Torino
75,Roma
33,Bayern Münih
23,Udinese
8,Fiorentina
383,Sampdoria
73,Leipzig
4588,Venezia
64,Lorient
58,Juventus
40,Stuttgart
65,Reims
62,Clermont
34,M'gladbach
71,Wolfsburg
63,Metz
17,Antalyaspor
41,Mainz
38,B. Leverkusen
1648,A. Bielefeld
50,Trabzonspor
343,Brescia
6,Galatasaray
4503,Altay
15,Başakşehir
12417,St. Pauli
422,Denizlispor
4642,Greuther Fürth
18,Fenerbahçe
1,Ankaragücü
37,Darmstadt 98
1596,Erzurumspor FK
14,Konyaspor
46,Adana Demirspor
12354,Como
35,Bochum
57,Inter
53,Napoli
76,Cagliari
12296,Eyüpspor
441,Paderborn
410,Yeni Malatyaspor
19,Gaziantep FK
25,Frosinone
48,Alanyaspor
345,SPAL
2,Sivasspor
12299,Bodrum FK
49,Beşiktaş
28,Sassuolo
47,Kasımpaşa
420,Göztepe
444,Gençlerbirliği
518,F. Düsseldorf
490,Schalke 04
27,Bologna
22,Genoa
43,Köln
70,Marsilya
59,Monaco
3,Hatayspor
26,Milan
